,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
174,postandcourier.com,6,5.51,5328,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,263,20,283,FALSE,FALSE,Real
175,pressdemocrat.com,5,5.11,16982,"Network Solutions, LLC",95401-6313,US,82,0,0,14,0,112,25,137,FALSE,FALSE,Real
176,pressenterprise.com,2,1.86,39733549,"CSC CORPORATE DOMAINS, INC.",80202,US,88,0,0,8,0,141,33,174,FALSE,TRUE,Real
177,providencejournal.com,5,5.03,19199,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,38,1,39,FALSE,FALSE,Real
178,publicopiniononline.com,5,4.52,78821,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,33,9,42,FALSE,FALSE,Real
179,rep-am.com,4,4.37,147606,NAMECHEAP INC,101,IS,83,0,0,13,0,280,15,295,FALSE,TRUE,Real
180,richmond.com,5,4.95,22042,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,83,0,0,13,0,179,10,189,FALSE,FALSE,Real
181,riverdalepress.com,5,4.72,39447,"ENOM, INC.",REDACTED FOR PRIVACY,US,85,0,0,11,0,61,7,68,FALSE,FALSE,Real
182,stltoday.com,5,5.4,6249,"Network Solutions, LLC",63101,US,83,0,0,13,0,191,21,212,FALSE,FALSE,Real
183,sltrib.com,5,5.31,7365,"Network Solutions, LLC",84101-1431,US,83,0,0,13,0,77,15,92,FALSE,FALSE,Real
184,sandiegouniontribune.com,5,5.27,14040,"MarkMonitor, Inc.",,US,84,0,0,12,0,222,22,244,FALSE,FALSE,Real
185,heraldtribune.com,5,4.95,21854,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,38,1,39,FALSE,FALSE,Real
186,thetimes-tribune.com,5,4.75,35670,"GoDaddy.com, LLC",85284,US,85,0,1,10,0,331,81,412,FALSE,FALSE,Real
187,nj.com,6,5.57,4973,"CSC CORPORATE DOMAINS, INC.",10007,US,85,0,0,11,0,123,12,135,FALSE,FALSE,Real
188,sun-sentinel.com,5,5.34,6825,"GoDaddy Corporate Domains, LLC",60654,US,84,0,0,12,0,239,32,271,FALSE,FALSE,Real
189,tampabay.com,5,5.47,5637,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,127,15,142,FALSE,FALSE,Real
